<1>  0 | | program | shift

<2>  02 |  program  | id | shift

<3>  023 |  program id  | ( | shift

<4>  0234 |  program id (  | id | shift

<5>  02346 |  program id ( id  | , | reduce:id_lists->id

<6>  02345 |  program id ( id_lists  | , | shift

<7>  023458 |  program id ( id_lists ,  | id | shift

<8>  02345810 |  program id ( id_lists , id  | ) | reduce:id_lists->id_lists , id

<9>  02345 |  program id ( id_lists  | ) | shift

<10> 023457 |  program id ( id_lists )  | ; | shift

<11> 0234579 |  program id ( id_lists ) ;  | begin | shift

<12> 023457912 |  program id ( id_lists ) ; begin  | id | shift

<13> 02345791217 |  program id ( id_lists ) ; begin id  | := | shift

<14> 0234579121723 |  program id ( id_lists ) ; begin id :=  | num | shift

<15> 023457912172329 |  program id ( id_lists ) ; begin id := num  | + | reduce:factor->num

<16> 023457912172327 |  program id ( id_lists ) ; begin id := factor  | + | reduce:term->factor

<17> 023457912172326 |  program id ( id_lists ) ; begin id := term  | + | reduce:expr->term

<18> 023457912172332 |  program id ( id_lists ) ; begin id := expr  | + | shift

<19> 02345791217233235 |  program id ( id_lists ) ; begin id := expr +  | id | shift

<20> 0234579121723323528 |  program id ( id_lists ) ; begin id := expr + id  | * | reduce:factor->id

<21> 0234579121723323527 |  program id ( id_lists ) ; begin id := expr + factor  | * | reduce:term->factor

<22> 0234579121723323540 |  program id ( id_lists ) ; begin id := expr + term  | * | shift

<23> 023457912172332354036 |  program id ( id_lists ) ; begin id := expr + term *  | id | shift

<24> 02345791217233235403628 |  program id ( id_lists ) ; begin id := expr + term * id  | ; | reduce:factor->id

<25> 02345791217233235403641 |  program id ( id_lists ) ; begin id := expr + term * factor  | ; | reduce:term->term * factor

<26> 0234579121723323540 |  program id ( id_lists ) ; begin id := expr + term  | ; | reduce:expr->expr + term

<27> 023457912172332 |  program id ( id_lists ) ; begin id := expr  | ; | reduce:stmt->id := expr

<28> 02345791216 |  program id ( id_lists ) ; begin stmt  | ; | reduce:stmts->stmt

<29> 02345791215 |  program id ( id_lists ) ; begin stmts  | ; | shift

<30> 0234579121522 |  program id ( id_lists ) ; begin stmts ;  | if | shift

<31> 023457912152219 |  program id ( id_lists ) ; begin stmts ; if  | id | shift

<32> 02345791215221928 |  program id ( id_lists ) ; begin stmts ; if id  | < | reduce:factor->id

